Hour,Predicted_Price,Price_Cap,Actual_Price,Abs_Error,APE_pct
1,8970.108189477512,15000.0,5600.0,3370.1081894775125,60.180503383527004
2,5536.030128205988,15000.0,6500.0,963.9698717940119,14.830305719907875
3,4238.7250501874405,15000.0,5500.0,1261.2749498125595,22.93227181477381
4,4515.030885056431,15000.0,5400.0,884.9691149435694,16.388316943399435
5,5101.433895514778,15000.0,5226.0,124.56610448522224,2.383584088886763
6,4481.394344916285,15000.0,5231.0,749.6056550837147,14.330064138476672
7,4238.632184859798,15000.0,6363.0,2124.367815140202,33.38626143548958
8,5331.892760637407,15000.0,6810.0,1478.1072393625927,21.70495211986186
9,6261.343265402318,15000.0,6190.45,70.89326540231832,1.1452037477456134
10,4361.483963056055,15000.0,4800.0,438.51603694394544,9.13575076966553
11,1354.4814011796996,15000.0,3899.0,2544.5185988203,65.26080017492436
12,984.9244973079218,15000.0,500.0,484.9244973079218,96.98489946158436
13,542.3545904451674,15000.0,300.0,242.35459044516745,80.78486348172248
14,563.7280728595504,15000.0,489.0,74.72807285955037,15.281814490705598
15,711.526747043323,15000.0,602.0,109.52674704332298,18.19381180121644
16,450.2998036023358,15000.0,712.0,261.7001963976642,36.755645561469684
17,876.5174726339592,15000.0,841.0,35.51747263395919,4.223242881564707
18,2033.8910138497104,15000.0,5600.0,3566.1089861502896,63.6805176098266
19,5989.20727016674,15000.0,10000.0,4010.7927298332597,40.1079272983326
20,7778.727017209753,15000.0,10267.0,2488.2729827902467,24.235638285674945
21,9573.346944163834,15000.0,14970.8,5397.453055836166,36.05320394258267
22,11233.920705204882,15000.0,14975.17,3741.2492947951177,24.9830171864167
23,9528.393286614046,15000.0,14977.36,5448.966713385955,36.381356349756935
24,7055.850687703815,15000.0,8369.0,1313.1493122961847,15.690635826218003
