datetime,n,wmape,mae,bias
12,92.0,23.10900208637276,305.75405115469374,-112.02270532299795
13,92.0,20.597124652460852,275.44366886393624,-75.89872994083909
11,92.0,17.707847088424423,307.6825815989593,-121.8962302271963
14,92.0,17.214029595244817,267.4392219909142,-82.01701496712329
15,92.0,15.428642892444405,293.5992089893947,-120.84741878311016
10,92.0,11.27687909507124,327.3244576902658,-136.2670654147988
9,92.0,10.529474493584871,501.62184152294606,2.6281634017947573
16,92.0,10.44730371308089,309.84005818832856,-127.87352211943148
17,92.0,8.299293083104917,451.2812691494532,-209.87989098899237
8,92.0,8.187574835276013,503.46857186321967,-154.72907181817834
4,92.0,7.650788923026091,327.4913296159137,40.70024637075878
7,92.0,7.455697051835138,490.2364499418939,-30.112656923070123
3,92.0,7.242379265472075,313.1188515025388,-4.642166237700676
2,92.0,7.167211353216106,326.0235668487062,-32.16679804506828
6,92.0,6.326742601104475,379.23443474720983,9.404533273332238
5,92.0,6.313773128920119,313.34283580512766,-85.16722995458608
0,92.0,5.99210031065983,443.8738121494403,24.767220686810774
18,92.0,4.635203004707888,383.1974369260532,55.28030492178241
1,92.0,4.584411617785934,252.37772959920886,-70.90389777804667
23,93.0,4.385644638203168,333.9169843227034,17.302015312480616
22,92.0,3.5047048689882265,371.90077433153766,3.749342095375171
21,92.0,3.213555437932262,388.14384799137895,141.9631685754916
20,92.0,2.118345840624818,247.61482914308087,30.637680734683183
19,92.0,1.5771113064663917,165.75241663497616,26.97372287737297
